BFD	RA	Dec	Diameter	mag	HD	HIP	Name
37 omi Ari	2.7424925	15.31186111		5.78	17036	12803	
87 mu. Cet	2.749039444	10.11414444		4.27	17094	12828	
38 Ari	2.749328056	12.44576111		5.17	17093	12832	
1 tau01 Eri	2.751718056	-18.57256667		4.47	17206	12843	
gam Hor	2.757632778	-63.70455		5.73	17504	12871	
zet Hyi	2.759065278	-67.61661944		4.83	17566	12876	
eta01 For	2.792708333	-35.55062222		6.51	17528	13040	
39 Ari	2.798483611	29.247125		4.52	17361	13061	
40 Ari	2.808913889	18.28379444		5.83	17459	13108	
RZ Cas	2.815419444	69.63428611		6.26	17138	13133	
nu. Hor	2.817079722	-62.806525		5.25	17848	13141	
bet For	2.818171944	-32.40587778		4.45	17652	13147	
42 pi. Ari	2.821544167	17.46431111		5.26	17543	13165	
gam01 For	2.830822778	-24.56030556		6.14	17713	13197	
gam02 For	2.831717222	-27.94198333		5.39	17729	13202	
41 c Ari	2.833065	27.26051667		3.61	17573	13209	
eta02 For	2.837439722	-35.84363889		5.92	17793	13225	
nu. Hyi	2.841238611	-75.06694444		4.76	18293	13244	
16 Per	2.8430725	38.31865833		4.22	17584	13254	
eta03 For	2.8445575	-35.67585278		5.48	17829	13265	
15 eta Per	2.8449475	55.89549167		3.77	17506	13268	Miram
2 tau02 Eri	2.850644444	-21.004025		4.76	17824	13288	Angetenar
43 sig Ari	2.858218333	15.08206944		5.52	17769	13327	
17 Per	2.858565833	35.05974722		4.56	17709	13328	
SU Cas	2.866319444	68.88849722		5.94	17463	13367	
psi For	2.892888333	-38.43700278		5.93	18149	13473	
20 Per	2.895171111	38.33748611		5.34	17904	13490	
18 tau Per	2.904295278	52.76248889		3.93	17878	13531	
44 rho01 Ari	2.915331667	17.73475833		7.1	18091	13579	
45 Ari	2.930138333	18.33163889		5.76	18191	13654	
3 eta Eri	2.940446389	-8.897644444		3.89	18322	13701	Azha
46 rho Ari	2.940597778	18.02313889		5.58	18256	13702	
21 Per	2.954800556	31.93421944		5.1	18296	13775	
4 Eri	2.956601944	-23.86216667		5.44	18454	13782	
47 Ari	2.968116944	20.66873333		5.8	18404	13834	
6 Eri	2.968259167	-23.60601111		5.82	18535	13835	
the01 Eri	2.9712325	-40.30471667		2.88	18622	13847	Acamar
22 pi. Per	2.979353333	39.66273333		4.68	18411	13879	Gorgonea Secunda
bet Hor	2.979943333	-64.07128889		4.98	18866	13884	
24 Per	2.984354722	35.18312778		4.94	18449	13905	
48 eps Ari	2.986855	21.34007222		4.63	18519	13914	
zet For	2.993383889	-25.27413611		5.69	18692	13942	
5 Eri	2.994766667	-2.464952778		5.56	18633	13951	
91 lam Cet	2.995249167	8.907397222		4.71	18604	13954	
7 Eri	3.014133333	-2.878619444		6.11	18760	14040	
8 rho01 Eri	3.019451111	-7.662997222		5.75	18784	14060	
eps For	3.027120833	-28.09154444		5.88	18907	14086	
49 Ari	3.031705833	26.46235278		5.91	18769	14109	
the Hyi	3.037624167	-71.90246111		5.51	19400	14131	
92 alf Cet	3.037992222	4.089736111		2.54	18884	14135	Menkar
93 Cet	3.039588333	4.352891667		5.62	18883	14143	
11 tau03 Eri	3.039886111	-23.62434167		4.08	18978	14146	
51 Ari	3.040562778	26.60925556		6.62	18803	14150	
9 rho02 Eri	3.045078333	-7.685472222		5.32	18953	14168	
mu. Hor	3.060227778	-59.73777778		5.12	19319	14240	
10 rho03 Eri	3.071254167	-7.600858333		5.26	19107	14293	
23 gam Per	3.079941944	53.50645278		2.91	18925	14328	
25 rho Per	3.086275833	38.84028056		3.32	19058	14354	Gorgonea Tertia
52 Ari	3.090747222	25.25516944		5.45	19134	14376	
