Code	RA	DEC	Diameter	mag	Name
IC551	9.683353	6.936	0.9	14	
IC552	9.687947	10.646333	1.1	14	
IC553	9.679167	-5.435833	0	0	
IC555	9.699167	12.295694	1.3	14	
IC556	9.727881	11.060889	0.9	14	
IC557	9.734028	10.9875	0.5	15	
IC558	9.750087	29.452003	0.9	15	
IC559	9.745531	9.615111	0.8	15	
IC560	9.764856	0.268833	1.5	15	
IC561	9.766342	3.1445	0.4	15	
IC562	9.76775	-3.971944	1.5	0	
IC563	9.772275	3.045139	1.1	0	
IC564	9.772528	3.070917	1.9	0	
IC565	9.797333	15.851333	1.7	15	
IC566	9.832348	0.231742	0	15	
IC568	9.852317	15.730056	1.5	15	
IC569	9.857819	10.919656	0.2	15	
IC570	9.864168	15.755572	0	16	
IC571	9.875442	15.775056	0.3	15	
IC572	9.875786	15.826833	0.4	15	
IC573	9.893361	-12.482778	1.2	15	
IC574	9.907496	-6.953461	0.5	15	
IC575	9.909167	-6.857778	0	0	
IC576	9.918641	11.039522	0	15	
IC577	9.934436	10.49775	0.7	14	
IC578	9.9378	10.485278	1.3	15	
IC580	9.96575	10.43225	0.6	15	
IC581	9.969892	15.946744	1.1	15	
IC582	9.983389	17.816667	1.1	15	
IC583	9.984733	17.820972	1	15	
IC584	9.98475	10.360556	0.3	15	
IC585	9.995614	12.98835	0.2	15	
IC586	9.997281	-6.922647	0.4	15	
IC588	10.035251	3.057556	1.1	15	
IC590	10.097222	0.633333	1.1	14	
IC591	10.124336	12.274361	1.4	14	
IC592	10.132978	-2.498194	1	14	
IC593	10.138381	-2.52675	0.8	14	
IC594	10.142222	0.667	1.1	15	
IC595	10.160584	11.000161	0	15	
IC596	10.175361	10.041667	0.8	15	
IC599	10.220094	-5.629639	1	14	
IC600	10.286361	-3.498056	2.3	0	
IC601	10.304251	7.038417	0.6	15	
IC602	10.305478	7.048889	1.1	0	
IC603	10.323611	-5.656389	0.4	14	
IC605	10.373378	1.198944	0.7	14	
IC606	10.392397	10.9595	0.4	15	
IC607	10.402433	16.741528	1.5	15	
IC608	10.405847	-6.039556	0.7	15	
IC609	10.426514	-2.215306	1.6	14	
IC610	10.441244	20.227139	2.1	0	
IC611	10.441244	20.227139	0	0	
IC612	10.451625	11.054583	0.3	15	
IC613	10.452171	11.010717	0.3	15	
IC614	10.447778	-3.465278	0.7	15	
IC615	10.456121	11.079992	1.4	15	
IC616	10.546528	15.860639	1.1	15	
IC617	10.545526	-12.637475	0.1	16	
IC620	10.559267	11.870944	0	15	
IC621	10.555831	2.615689	0	15	
IC622	10.578542	11.196694	2.9	14	
IC623	10.5892	3.557889	1.1	15	
IC624	10.60425	-8.334444	3.3	0	
IC626	10.615872	-7.024111	0	14	
IC627	10.622229	-3.357364	0.4	14	
IC628	10.626728	5.603111	1	15	
IC629	10.617333	-27.565278	3	0	
IC630	10.64275	-7.170833	0	13	
IC632	10.653269	0.41025	1	15	
IC633	10.656694	0.389222	0.6	14	
IC634	10.681942	5.991417	1.3	15	
IC635	10.695911	15.642889	1.3	15	
IC636	10.697397	4.330417	1.1	15	
IC637	10.706115	15.359822	0	15	
IC638	10.73	15.894722	0	15	
IC639	10.764444	16.929444	0.7	15	
IC642	10.802264	18.18875	1.6	14	
IC643	10.824222	12.200556	0	15	
IC644	10.858775	55.390611	0	0	
IC646	10.859769	55.465653	0	0	
IC648	10.850056	12.286944	0.8	15	
IC649	10.847778	1.163333	0.6	15	
IC651	10.849544	-2.150556	0.8	0	
IC653	10.868536	0.561083	2.3	14	
IC655	10.906194	0.365833	1	0	
IC656	10.918917	17.613333	0	0	
IC658	10.971191	8.241536	0.3	15	
IC660	10.974063	1.382833	0	16	
IC661	10.980917	1.650139	0	16	
IC662	10.989029	1.598936	0	16	
IC663	11.010361	10.436389	0	16	
IC664	11.012611	10.552778	1	15	
IC666	11.020778	10.480278	0	15	
IC667	11.110133	15.088681	0	15	
IC668	11.110972	15.040556	0.6	15	
IC669	11.121252	6.302111	1.6	14	
